InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
566984,21731,RED TOADSTOOL LED NIGHT LIGHT,24,9/16/2011 10:39,1.65,12471,Germany
559557,79030D,TUMBLER BAROQUE,24,7/11/2011 10:33,0.39,17444,Canada
549738,20675,BLUE POLKADOT BOWL,48,4/12/2011 9:28,1.25,,Hong Kong
541269,22449,SILK PURSE BABUSHKA PINK,6,1/17/2011 11:01,3.35,12626,Germany
580553,21239,PINK  POLKADOT CUP,16,12/5/2011 10:14,0.85,12646,USA
561631,23342,MINT DINER WALL CLOCK,2,7/28/2011 14:27,8.5,14911,EIRE
540458,22090,PAPER BUNTING RETROSPOT,6,1/7/2011 12:28,2.95,12501,Germany
543518,22090,PAPER BUNTING RETROSPOT,40,2/9/2011 11:21,2.55,12753,Japan
572035,23470,CARD HOLDER LOVE BIRD LARGE ,36,10/20/2011 12:03,5.39,14646,Netherlands
573511,84991,60 TEATIME FAIRY CAKE CASES,24,10/31/2011 12:25,0.55,12347,Iceland
570839,22374,AIRLINE BAG VINTAGE JET SET RED,8,10/12/2011 14:08,4.25,14911,EIRE
540455,21883,STARS GIFT TAPE ,144,1/7/2011 12:07,0.19,12583,France
568350,90161D,ANT COPPER PINK BOUDICCA BRACELET,6,9/26/2011 15:35,4.95,12612,Germany
565519,22691,DOORMAT WELCOME SUNRISE,2,9/5/2011 11:52,8.25,12502,Spain
567197,20727,LUNCH BAG  BLACK SKULL.,10,9/19/2011 10:10,1.65,14934,Channel Islands
562537,23266,SET OF 3 WOODEN STOCKING DECORATION,12,8/5/2011 15:02,1.25,12517,Germany
581175,22509,SEWING BOX RETROSPOT DESIGN ,16,12/7/2011 15:16,3.95,14646,Netherlands
579503,23247,BISCUIT TIN 50'S CHRISTMAS,1,11/29/2011 16:23,2.89,17097,Spain
561194,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,6,7/25/2011 13:54,2.95,13814,Germany
567293,23174,REGENCY SUGAR BOWL GREEN,4,9/19/2011 12:01,4.15,12640,France
570082,22398,MAGNETS PACK OF 4 SWALLOWS,12,10/7/2011 11:19,0.39,12524,Germany
545235,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6,3/1/2011 10:31,2.55,12683,France
556201,23172,REGENCY TEA PLATE PINK,12,6/9/2011 13:01,1.65,12347,Iceland
559907,23126,FELTCRAFT GIRL AMELIE KIT,4,7/13/2011 13:37,4.95,12766,Portugal
570714,21915,RED  HARMONICA IN BOX ,12,10/12/2011 10:20,1.25,13520,Switzerland
563353,22960,JAM MAKING SET WITH JARS,6,8/15/2011 14:32,4.25,15480,Malta
546091,22962,JAM JAR WITH PINK LID,12,3/9/2011 11:53,0.85,14936,Channel Islands
560036,22697,GREEN REGENCY TEACUP AND SAUCER,6,7/14/2011 13:51,2.95,14911,EIRE
576893,22549,PICTURE DOMINOES,12,11/17/2011 8:29,1.45,12481,Germany
576927,23256,CHILDRENS CUTLERY SPACEBOY ,4,11/17/2011 11:02,4.15,12567,France
559797,21212,PACK OF 72 RETROSPOT CAKE CASES,24,7/12/2011 13:31,0.55,12720,Germany
565416,22029,SPACEBOY BIRTHDAY CARD,12,9/4/2011 12:00,0.42,12710,Germany
561911,21500,PINK POLKADOT WRAP ,25,8/1/2011 10:26,0.42,12534,Germany
552826,22178,VICTORIAN GLASS HANGING T-LIGHT,30,5/11/2011 13:20,1.25,14277,France
571328,22812,PACK 3 BOXES CHRISTMAS PANNETONE,24,10/17/2011 11:27,1.95,12473,Germany
562045,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,12,8/2/2011 10:33,0.85,12644,Germany
546760,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,3/16/2011 14:00,0.55,12597,Spain
545634,22556,PLASTERS IN TIN CIRCUS PARADE ,12,3/4/2011 12:12,1.65,14911,EIRE
574740,20931,BLUE POT PLANT CANDLE ,12,11/6/2011 16:07,2.95,12357,Switzerland
565857,23197,SKETCHBOOK MAGNETIC SHOPPING LIST,12,9/7/2011 14:13,1.45,14911,EIRE
563020,21424,WOODLAND STORAGE BOX LARGE ,6,8/11/2011 12:58,2.95,12428,Finland
575880,21086,SET/6 RED SPOTTY PAPER CUPS,48,11/11/2011 13:35,0.65,12726,France
554985,20963,APPLE BATH SPONGE,10,5/29/2011 12:26,1.25,12426,Germany
564372,22028,PENNY FARTHING BIRTHDAY CARD,12,8/25/2011 9:55,0.42,12714,France
570718,22037,ROBOT BIRTHDAY CARD,12,10/12/2011 10:36,0.42,12518,Germany
576603,23229,VINTAGE DONKEY TAIL GAME ,6,11/15/2011 15:22,3.75,14911,EIRE
555107,20719,WOODLAND CHARLOTTE BAG,20,5/31/2011 14:14,0.85,12594,Italy
577476,22966,GINGERBREAD MAN COOKIE CUTTER,24,11/20/2011 11:31,1.25,12540,Spain
560590,22961,JAM MAKING SET PRINTED,12,7/19/2011 15:55,1.45,12560,Germany
558388,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,16,6/29/2011 10:00,0.65,,EIRE
537197,22507,MEMO BOARD RETROSPOT  DESIGN,4,12/5/2010 14:02,4.95,12647,Germany
537201,22600,CHRISTMAS RETROSPOT STAR WOOD,12,12/5/2010 14:19,0.85,12472,Germany
543114,21733,RED HANGING HEART T-LIGHT HOLDER,6,2/3/2011 13:26,2.95,14156,EIRE
575707,22365,DOORMAT RESPECTABLE HOUSE,2,11/10/2011 17:16,8.25,12538,Spain
572567,23545,WRAP RED VINTAGE DOILY,25,10/25/2011 10:27,0.42,12398,Switzerland
562605,23268,SET OF 2 CERAMIC CHRISTMAS REINDEER,12,8/8/2011 10:59,1.45,12530,Germany
571239,23229,VINTAGE DONKEY TAIL GAME ,6,10/14/2011 14:54,3.75,12744,Singapore
576927,23177,TREASURE ISLAND BOOK BOX,8,11/17/2011 11:02,2.25,12567,France
568650,16235,RECYCLED PENCIL WITH RABBIT ERASER,60,9/28/2011 11:56,0.21,13505,Switzerland
560211,23199,JUMBO BAG APPLES,10,7/15/2011 14:34,2.08,12621,Germany
555947,85078,SCANDINAVIAN 3 HEARTS NAPKIN RING,24,6/8/2011 10:45,0.19,14911,EIRE
569866,22477,WATERING CAN GARDEN MARKER,3,10/6/2011 14:50,1.25,12757,Portugal
539446,21231,SWEETHEART CERAMIC TRINKET BOX,12,12/17/2010 15:58,1.25,12705,Germany
560590,23287,RED VINTAGE SPOT BEAKER,8,7/19/2011 15:55,0.85,12560,Germany
557789,22619,SET OF 6 SOLDIER SKITTLES,8,6/22/2011 16:32,3.75,12379,Belgium
569870,23205,CHARLOTTE BAG VINTAGE ALPHABET ,3,10/6/2011 14:59,0.85,12757,Portugal
573108,23145,ZINC T-LIGHT HOLDER STAR LARGE,12,10/27/2011 15:09,0.95,12430,Norway
564079,22327,ROUND SNACK BOXES SET OF 4 SKULLS,6,8/22/2011 15:55,2.95,12627,Germany
569568,22659,LUNCH BOX I LOVE LONDON,12,10/5/2011 9:57,1.95,12700,France
571556,22175,PINK OWL SOFT TOY,6,10/18/2011 9:24,2.95,12662,Germany
555739,22380,TOY TIDY SPACEBOY  ,5,6/7/2011 9:49,2.1,12380,Belgium
558311,84970S,HANGING HEART ZINC T-LIGHT HOLDER,144,6/28/2011 11:22,0.64,14646,Netherlands
574587,22185,SLATE TILE NATURAL HANGING,24,11/6/2011 10:29,1.65,14936,Channel Islands
571446,23163,REGENCY SUGAR TONGS,36,10/17/2011 13:46,2.49,14911,EIRE
572560,22627,MINT KITCHEN SCALES,4,10/25/2011 8:45,8.5,12476,Germany
570521,21693,SMALL HAMMERED SILVER CANDLEPOT ,6,10/11/2011 10:43,2.95,12371,Switzerland
541520,22503,CABIN BAG VINTAGE PAISLEY,3,1/19/2011 9:13,12.75,12422,Australia
579901,47567B,TEA TIME KITCHEN APRON,3,12/1/2011 8:35,5.95,12569,Germany
562537,21242,RED RETROSPOT PLATE ,8,8/5/2011 15:02,1.69,12517,Germany
569844,22548,HEADS AND TAILS SPORTING FUN,12,10/6/2011 13:30,1.25,12626,Germany
571053,23288,GREEN VINTAGE SPOT BEAKER,8,10/13/2011 13:53,0.85,12631,Finland
557328,23254,CHILDRENS CUTLERY DOLLY GIRL ,1,6/20/2011 9:53,4.15,14646,Netherlands
541206,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,144,1/14/2011 12:24,2.55,14646,Netherlands
546780,22468,BABUSHKA LIGHTS STRING OF 10,48,3/17/2011 7:40,5.95,12435,Denmark
565967,21086,SET/6 RED SPOTTY PAPER CUPS,36,9/8/2011 11:27,0.65,14646,Netherlands
557263,22714,CARD BIRTHDAY COWBOY,72,6/19/2011 11:08,0.36,14646,Netherlands
563926,85099B,JUMBO BAG RED RETROSPOT,10,8/21/2011 14:42,2.08,12553,France
541631,22437,SET OF 9 BLACK SKULL BALLOONS,20,1/20/2011 10:48,0.85,12637,France
547722,21094,SET/6 RED SPOTTY PAPER PLATES,12,3/25/2011 10:19,0.85,12553,France
563712,21981,PACK OF 12 WOODLAND TISSUES ,24,8/18/2011 15:44,0.29,12680,France
560694,21643,ASSORTED TUTTI FRUTTI MIRROR,12,7/20/2011 12:05,1.25,12757,Portugal
562275,21731,RED TOADSTOOL LED NIGHT LIGHT,12,8/4/2011 10:04,1.65,12689,France
551868,21914,BLUE HARMONICA IN BOX ,36,5/4/2011 16:29,1.25,12540,Spain
563614,22630,DOLLY GIRL LUNCH BOX,256,8/18/2011 8:51,1.65,12415,Australia
546509,22070,SMALL RED RETROSPOT MUG IN BOX ,6,3/14/2011 12:15,3.75,14911,EIRE
565928,21889,WOODEN BOX OF DOMINOES,12,9/8/2011 10:09,1.25,,EIRE
580160,23298,SPOTTY BUNTING,3,12/2/2011 10:47,4.95,12700,France
581476,16016,LARGE CHINESE STYLE SCISSOR,40,12/9/2011 8:48,0.85,12433,Norway
572964,23181,BULL DOG BOTTLE TOP WALL CLOCK,2,10/27/2011 10:41,8.25,12630,Finland
545475,22842,BISCUIT TIN VINTAGE RED,48,3/3/2011 10:59,5.95,12415,Australia
556206,23245,SET OF 3 REGENCY CAKE TINS,4,6/9/2011 13:46,4.95,14911,EIRE
571065,21481,FAWN BLUE HOT WATER BOTTLE,4,10/13/2011 14:59,3.75,12613,Germany
570499,21210,SET OF 72 RETROSPOT PAPER  DOILIES,12,10/11/2011 9:19,1.45,12772,Portugal
543911,21165,BEWARE OF THE CAT METAL SIGN ,12,2/14/2011 12:46,1.69,17829,United Arab Emirates
537212,22197,SMALL POPCORN HOLDER,24,12/5/2010 15:21,0.85,12720,Germany
563749,20677,PINK POLKADOT BOWL,8,8/19/2011 10:10,1.25,12360,Austria
571030,21843,RED RETROSPOT CAKE STAND,6,10/13/2011 12:26,10.95,12876,Belgium
571227,23396,LE JARDIN BOTANIQUE CUSHION COVER,4,10/14/2011 13:54,3.75,12477,Germany
539419,48138,DOORMAT UNION FLAG,10,12/17/2010 14:10,6.75,12431,Australia
549588,84531B,BLUE KNITTED EGG COSY,6,4/11/2011 10:04,0.39,12428,Finland
568417,23397,FOOT STOOL HOME SWEET HOME ,4,9/27/2011 11:10,9.95,14911,EIRE
569653,22551,PLASTERS IN TIN SPACEBOY,12,10/5/2011 12:52,1.65,12451,Switzerland
555547,23168,CLASSIC CAFE SUGAR DISPENSER,12,6/5/2011 13:13,1.25,12681,France
574862,23290,SPACEBOY CHILDRENS BOWL,8,11/7/2011 12:27,1.25,12408,Belgium
539488,22112,CHOCOLATE HOT WATER BOTTLE,16,12/20/2010 9:37,4.95,12377,Switzerland
568872,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,6,9/29/2011 12:12,2.95,12372,Denmark
547504,84991,60 TEATIME FAIRY CAKE CASES,24,3/23/2011 13:33,0.55,12683,France
565287,22378,WALL TIDY RETROSPOT ,5,9/2/2011 11:42,2.1,12483,Sweden
564087,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,48,8/23/2011 9:38,2.55,,Hong Kong
567958,23309,SET OF 60 I LOVE LONDON CAKE CASES ,24,9/23/2011 9:00,0.55,12619,Germany
549667,20725,LUNCH BAG RED RETROSPOT,10,4/11/2011 12:20,1.65,14911,EIRE
540455,22727,ALARM CLOCK BAKELIKE RED ,12,1/7/2011 12:07,3.75,12583,France
563749,23285,PINK VINTAGE SPOT BEAKER,8,8/19/2011 10:10,0.85,12360,Austria
581433,22723,SET OF 6 HERB TINS SKETCHBOOK,12,12/8/2011 15:54,1.25,14911,EIRE
570672,20704,MR ROBOT SOFT TOY,2,10/11/2011 14:52,6.95,12536,France
550620,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,192,4/19/2011 13:39,0.72,12585,Germany
537212,20718,RED RETROSPOT SHOPPER BAG,10,12/5/2010 15:21,1.25,12720,Germany
570674,22049,WRAP CHRISTMAS SCREEN PRINT,25,10/11/2011 14:59,0.19,14911,EIRE
566625,21263,GREEN GOOSE FEATHER TREE 60CM,12,9/14/2011 9:38,1.95,14911,EIRE
558684,23124,18PC WOODEN CUTLERY SET DISPOSABLE,16,7/1/2011 11:29,1.25,14016,EIRE
553686,22636,CHILDS BREAKFAST SET CIRCUS PARADE,2,5/18/2011 13:58,8.5,14911,EIRE
537995,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6,12/9/2010 11:39,2.55,12712,Germany
579102,22423,REGENCY CAKESTAND 3 TIER,6,11/28/2011 11:33,12.75,14911,EIRE
561658,21843,RED RETROSPOT CAKE STAND,1,7/28/2011 16:06,10.95,12743,Unspecified
538008,22907,PACK OF 20 NAPKINS PANTRY DESIGN,24,12/9/2010 12:17,0.85,12683,France
579393,23474,WOODLAND SMALL BLUE FELT HEART,24,11/29/2011 12:07,0.83,12627,Germany
564184,21213,PACK OF 72 SKULL CAKE CASES,24,8/23/2011 15:11,0.55,,EIRE
543411,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,12,2/8/2011 11:31,1.25,12576,Poland
561870,22457,NATURAL SLATE HEART CHALKBOARD ,6,7/31/2011 11:45,2.95,14911,EIRE
576371,22339,CHRISTMAS TREE PAINTED ZINC ,96,11/15/2011 8:07,0.19,14911,EIRE
569653,22139,RETROSPOT TEA SET CERAMIC 11 PC ,9,10/5/2011 12:52,4.95,12451,Switzerland
580752,20685,DOORMAT RED RETROSPOT,2,12/6/2011 9:56,8.25,12478,Greece
581003,22727,ALARM CLOCK BAKELIKE RED ,4,12/7/2011 8:38,3.75,14911,EIRE
547387,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,12,3/22/2011 16:00,2.95,12539,Spain
566041,21124,SET/10 BLUE POLKADOT PARTY CANDLES,24,9/8/2011 13:48,1.25,13814,Germany
567657,23147,SINGLE ANTIQUE ROSE HOOK IVORY,12,9/21/2011 14:43,1.45,12523,France
568650,22863,SOAP DISH BROCANTE,8,9/28/2011 11:56,2.95,13505,Switzerland
539957,22272,FELTCRAFT DOLL MARIA,6,12/23/2010 12:58,2.95,12585,Germany
561040,23284,DOORMAT KEEP CALM AND COME IN,10,7/24/2011 12:05,6.75,12431,Australia
546252,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,12,3/10/2011 14:42,1.25,14930,Channel Islands
552262,23070,EDWARDIAN HEART PHOTO FRAME,4,5/8/2011 11:37,4.15,14911,EIRE
557472,22371,AIRLINE BAG VINTAGE TOKYO 78,4,6/20/2011 13:27,4.25,12432,Norway
553831,22795,SWEETHEART RECIPE BOOK STAND,8,5/19/2011 11:36,6.75,14442,Channel Islands
567290,23172,REGENCY TEA PLATE PINK,48,9/19/2011 11:54,1.45,14646,Netherlands
572065,23329,DECORATIVE WICKER HEART LARGE,2,10/20/2011 13:06,1.65,12556,Spain
567968,85204,HANGING WOOD AND FELT FLOWER,96,9/23/2011 9:44,0.12,12546,Spain
573401,21058,PARTY INVITES WOODLAND,12,10/30/2011 15:43,0.85,12364,Belgium
571824,22423,REGENCY CAKESTAND 3 TIER,4,10/19/2011 11:49,12.75,12472,Germany
552978,22780,LIGHT GARLAND BUTTERFILES PINK,48,5/12/2011 14:46,3.75,12590,Germany
569563,23286,BLUE VINTAGE SPOT BEAKER,16,10/5/2011 9:46,0.85,12481,Germany
560445,23066,SMALL DECO JEWELLERY STAND,48,7/19/2011 9:08,7.45,14156,EIRE
543899,22983,CARD BILLBOARD FONT,48,2/14/2011 12:11,0.42,,EIRE
536858,21731,RED TOADSTOOL LED NIGHT LIGHT,24,12/3/2010 10:36,1.65,13520,Switzerland
568987,20675,BLUE POLKADOT BOWL,16,9/29/2011 15:58,1.25,12709,Germany
568310,23118,PARISIENNE JEWELLERY DRAWER ,2,9/26/2011 12:48,7.5,14911,EIRE
571328,22908,PACK OF 20 NAPKINS RED APPLES,12,10/17/2011 11:27,0.85,12473,Germany
553148,47599B,BLUE PARTY BAGS ,6,5/13/2011 14:09,2.1,,Hong Kong
544573,21700,BIG DOUGHNUT FRIDGE MAGNETS,12,2/21/2011 13:40,0.85,12621,Germany
565967,21918,SET 12 KIDS COLOUR  CHALK STICKS,24,9/8/2011 11:27,0.42,14646,Netherlands
579152,21211,SET OF 72 SKULL PAPER  DOILIES,12,11/28/2011 13:26,1.45,12479,Germany
557759,23171,REGENCY TEA PLATE GREEN ,12,6/22/2011 13:52,1.65,14156,EIRE
573362,21668,RED STRIPE CERAMIC DRAWER KNOB,12,10/30/2011 13:06,1.45,12597,Spain
541518,20724,RED RETROSPOT CHARLOTTE BAG,10,1/19/2011 9:05,0.85,12451,Switzerland
537065,22635,CHILDS BREAKFAST SET DOLLY GIRL ,2,12/5/2010 11:57,9.95,12567,France
539491,22960,JAM MAKING SET WITH JARS,1,12/20/2010 10:09,4.25,14646,Netherlands
574329,23247,BISCUIT TIN 50'S CHRISTMAS,12,11/4/2011 9:07,2.89,12362,Belgium
562602,22847,BREAD BIN DINER STYLE IVORY,2,8/8/2011 10:11,16.95,12865,Austria
541711,22333,RETROSPOT PARTY BAG + STICKER SET,48,1/21/2011 11:18,1.45,14646,Netherlands
576390,22413,METAL SIGN TAKE IT OR LEAVE IT ,6,11/15/2011 10:13,2.95,12569,Germany
570672,21905,MORE BUTTER METAL SIGN ,12,10/11/2011 14:52,0.79,12536,France
575886,21355,TOAST ITS - I LOVE YOU ,1,11/11/2011 13:57,1.25,12517,Germany
540835,22662,LUNCH BAG DOLLY GIRL DESIGN,10,1/11/2011 15:00,1.65,12724,France
560211,22244,3 HOOK HANGER MAGIC GARDEN,12,7/15/2011 14:34,1.95,12621,Germany
556114,21578,WOODLAND DESIGN  COTTON TOTE BAG,6,6/9/2011 9:36,2.25,12569,Germany
542278,84688,BEACH HUT DESIGN BLACKBOARD,6,1/27/2011 10:43,4.25,14911,EIRE
579792,23255,CHILDRENS CUTLERY CIRCUS PARADE,8,11/30/2011 15:43,4.15,12714,France
570002,21531,RED RETROSPOT SUGAR JAM BOWL,24,10/7/2011 9:16,2.1,12477,Germany
548409,22745,POPPY'S PLAYHOUSE BEDROOM ,24,3/31/2011 10:27,2.1,12731,France
537065,21892,TRADITIONAL WOODEN CATCH CUP GAME ,12,12/5/2010 11:57,1.25,12567,France
562274,22556,PLASTERS IN TIN CIRCUS PARADE ,12,8/4/2011 10:00,1.65,12704,Finland
542629,22029,SPACEBOY BIRTHDAY CARD,24,1/31/2011 9:57,0.42,12731,France
563100,21249,WOODLAND  HEIGHT CHART STICKERS ,6,8/12/2011 9:57,2.95,12381,Norway
553535,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,5/17/2011 15:17,0.55,,EIRE
559557,22551,PLASTERS IN TIN SPACEBOY,12,7/11/2011 10:33,1.65,17444,Canada
575692,22971,QUEENS GUARD COFFEE MUG,3,11/10/2011 16:27,2.55,12508,France
546373,23010,CIRCUS PARADE BABY GIFT SET,3,3/11/2011 12:00,16.95,12583,France
577615,15056BL,EDWARDIAN PARASOL BLACK,6,11/21/2011 10:22,5.95,12658,Germany
554106,22379,RECYCLING BAG RETROSPOT ,5,5/22/2011 14:05,2.1,12710,Germany
564666,22111,SCOTTIE DOG HOT WATER BOTTLE,3,8/26/2011 14:51,4.95,12492,Germany
571215,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,12,10/14/2011 12:57,1.45,13810,Germany
563854,22951,60 CAKE CASES DOLLY GIRL DESIGN,24,8/19/2011 15:24,0.55,12364,Belgium
578811,22367,CHILDRENS APRON SPACEBOY DESIGN,8,11/25/2011 13:28,1.95,12438,Norway
567280,23083,SET 6 PAPER TABLE LANTERN STARS ,96,9/19/2011 11:46,3.29,14646,Netherlands
572241,22114,HOT WATER BOTTLE TEA AND SYMPATHY,4,10/21/2011 15:20,4.25,12712,Germany
567928,20726,LUNCH BAG WOODLAND,10,9/22/2011 17:31,1.65,12380,Belgium
569017,23546,WRAP PAISLEY PARK ,25,9/30/2011 9:22,0.42,13813,Germany
547387,22849,BREAD BIN DINER STYLE MINT,1,3/22/2011 16:00,16.95,12539,Spain
563098,22384,LUNCH BAG PINK POLKADOT,10,8/12/2011 9:14,1.65,14911,EIRE
565800,22627,MINT KITCHEN SCALES,2,9/7/2011 10:23,8.5,14911,EIRE
575144,22892,SET OF SALT AND PEPPER TOADSTOOLS,12,11/8/2011 15:38,1.25,12540,Spain
553857,23090,VINTAGE GLASS T-LIGHT HOLDER,12,5/19/2011 13:30,0.83,,Unspecified
537463,21719,LOVELY BONBON STICKER SHEET,12,12/7/2010 10:08,0.85,12681,France
561870,21980,PACK OF 12 RED RETROSPOT TISSUES ,24,7/31/2011 11:45,0.29,14911,EIRE
546091,20685,DOORMAT RED RETROSPOT,4,3/9/2011 11:53,7.95,14936,Channel Islands
563477,22645,CERAMIC HEART FAIRY CAKE MONEY BANK,1,8/16/2011 15:39,1.45,17097,Spain
547087,21094,SET/6 RED SPOTTY PAPER PLATES,24,3/20/2011 15:58,0.85,12726,France
554104,21291,SMALL POLKADOT CHOCOLATE GIFT BAG ,16,5/22/2011 14:03,0.85,12705,Germany
560894,23156,SET OF 5 MINI GROCERY MAGNETS,12,7/21/2011 17:09,2.08,14911,EIRE
580126,22662,LUNCH BAG DOLLY GIRL DESIGN,10,12/1/2011 17:20,1.65,12562,France
572127,47566,PARTY BUNTING,4,10/21/2011 9:20,4.95,14911,EIRE
550277,22955,36 FOIL STAR CAKE CASES ,12,4/15/2011 12:48,2.1,12639,Sweden
581476,23293,SET OF 12 FAIRY CAKE BAKING CASES,32,12/9/2011 8:48,0.83,12433,Norway
546236,18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,6,3/10/2011 12:48,2.55,12370,Cyprus
547892,22895,SET OF 2 TEA TOWELS APPLE AND PEARS,6,3/28/2011 10:15,2.95,12669,France
580753,47566,PARTY BUNTING,8,12/6/2011 10:00,4.95,12682,France
580536,20724,RED RETROSPOT CHARLOTTE BAG,10,12/4/2011 16:07,0.85,12490,France
547520,23007, SPACEBOY BABY GIFT SET,2,3/23/2011 14:55,16.95,12564,France
579094,21535,RED RETROSPOT SMALL MILK JUG,6,11/28/2011 10:56,2.55,12668,Germany
577121,20682,RED RETROSPOT CHILDRENS UMBRELLA,6,11/17/2011 18:29,3.25,12681,France
578541,22193,RED DINER WALL CLOCK,2,11/24/2011 15:01,8.5,14277,France
573362,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,12,10/30/2011 13:06,2.55,12597,Spain
577850,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,24,11/22/2011 11:04,0.29,14911,EIRE
544468,21465,PINK FLOWER CROCHET FOOD COVER,12,2/21/2011 8:33,3.75,,EIRE
553017,21980,PACK OF 12 RED RETROSPOT TISSUES ,12,5/12/2011 19:01,0.29,12757,Portugal
554363,21936,RED RETROSPOT PICNIC BAG,10,5/24/2011 10:19,2.95,12647,Germany
559173,16161P,WRAP ENGLISH ROSE ,25,7/7/2011 10:03,0.42,12540,Spain
547444,22746,POPPY'S PLAYHOUSE LIVINGROOM ,6,3/23/2011 10:55,2.1,12811,Portugal
566557,21485,RETROSPOT HEART HOT WATER BOTTLE,48,9/13/2011 11:47,4.25,14646,Netherlands
552315,23254,CHILDRENS CUTLERY DOLLY GIRL ,4,5/8/2011 16:10,4.15,12700,France
560566,22748,POPPY'S PLAYHOUSE KITCHEN,6,7/19/2011 13:45,2.1,12662,Germany
567720,82494L,WOODEN FRAME ANTIQUE WHITE ,6,9/22/2011 10:37,2.95,14911,EIRE
577152,22741,FUNKY DIVA PEN,48,11/18/2011 9:53,0.85,14277,France
555941,21988,PACK OF 6 SKULL PAPER PLATES,12,6/8/2011 10:10,0.85,12726,France
580734,84375,SET OF 20 KIDS COOKIE CUTTERS,12,12/6/2011 8:46,2.1,12766,Portugal
545226,21122,SET/10 PINK POLKADOT PARTY CANDLES,24,3/1/2011 9:33,1.25,12428,Finland
550899,84997A,CHILDRENS CUTLERY POLKADOT GREEN ,4,4/21/2011 12:07,4.15,13505,Switzerland
577121,22992,REVOLVER WOODEN RULER ,24,11/17/2011 18:29,1.95,12681,France
540556,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,4,1/10/2011 9:58,3.75,,Israel
554104,16168M,FUNKY MONKEY GIFT BAG MEDIUM,24,5/22/2011 14:03,0.42,12705,Germany
