goodForGroups,city,state,latitude,longitude,stars,reviewCount,checkins,open,alcohol,noiseLevel,attire,priceRange,delivery,waiterService,smoking,outdoorSeating,caters,goodForKids
0,North Las Vegas,NV,36.2399476,-115.1155012,3.5,22,100,TRUE,none,,,1,,,,,,
0,Scottsdale,AZ,33.5242438,-111.8992733,4,90,179,TRUE,none,average,casual,1,TRUE,FALSE,,TRUE,TRUE,
0,Las Vegas,NV,36.1274245,-115.170815,4,3,11,TRUE,none,,,,,,,,,
1,Charlotte,NC,35.1998167,-80.8411983,4,29,68,TRUE,beer_and_wine,average,casual,2,FALSE,TRUE,,TRUE,TRUE,
1,Gilbert,AZ,33.30593625,-111.7868382,4,45,171,TRUE,none,average,casual,1,FALSE,FALSE,,TRUE,FALSE,
1,Tempe,AZ,33.393199,-111.97627,2.5,11,31,TRUE,none,average,casual,1,FALSE,TRUE,,FALSE,FALSE,
0,Scottsdale,AZ,33.49247767,-111.9309472,4.5,79,167,TRUE,none,quiet,casual,1,FALSE,TRUE,,TRUE,FALSE,
1,Madison,WI,43.10167223,-89.36459541,4.5,160,159,TRUE,beer_and_wine,average,casual,1,TRUE,TRUE,,TRUE,TRUE,
1,Charlotte,NC,35.229872,-80.923658,3,11,41,TRUE,none,average,casual,1,FALSE,FALSE,,FALSE,FALSE,
1,Tempe,AZ,33.3918579,-111.9091151,3,15,17,FALSE,none,,casual,1,FALSE,TRUE,,FALSE,,
1,Tempe,AZ,33.4226468,-111.9348002,3.5,15,29,TRUE,none,loud,casual,1,FALSE,FALSE,,TRUE,,
1,Phoenix,AZ,33.6402141,-112.0649759,2.5,3,22,TRUE,none,,casual,1,FALSE,FALSE,,FALSE,TRUE,
1,Edinburgh,EDH,55.9754599,-3.1704084,5,20,9,TRUE,full_bar,quiet,dressy,4,FALSE,TRUE,,FALSE,FALSE,
0,Edinburgh,EDH,55.96678916,-3.175054789,3.5,16,159,TRUE,none,,dressy,4,FALSE,,,TRUE,,
0,Phoenix,AZ,33.5382119,-112.1354835,4.5,34,41,TRUE,none,,,1,,,,,,
1,Edinburgh,EDH,55.94328257,-3.201687657,4,50,82,TRUE,full_bar,quiet,casual,2,FALSE,TRUE,outdoor,FALSE,,
1,Mesa,AZ,33.413158,-111.875779,2.5,9,9,TRUE,beer_and_wine,very_loud,casual,1,FALSE,TRUE,,FALSE,,
1,Las Vegas,NV,36.071411,-115.278723,3.5,77,199,TRUE,full_bar,average,casual,2,FALSE,FALSE,,TRUE,TRUE,
1,Charlotte,NC,35.319499,-80.952736,2.5,6,4,TRUE,beer_and_wine,quiet,casual,2,FALSE,FALSE,,FALSE,FALSE,
0,Charlotte,NC,35.22516328,-80.84221849,3,7,13,TRUE,none,,,,,,,,,
0,Mint Hill,NC,35.17590428,-80.65385342,2.5,3,11,TRUE,none,,casual,1,FALSE,,,,,
1,Madison,WI,43.140174,-89.3258863,4,41,84,TRUE,none,average,casual,1,FALSE,TRUE,,FALSE,,
0,Las Vegas,NV,36.1100564,-115.1681542,2.5,13,148,TRUE,none,,,2,,,,FALSE,,
1,Las Vegas,NV,36.11834335,-115.3388214,3.5,54,135,FALSE,full_bar,average,casual,2,FALSE,TRUE,,FALSE,FALSE,
0,Pittsburgh,PA,40.441237,-80.003478,2.5,4,12,TRUE,none,,,,,,,,,
1,Tempe,AZ,33.4146786,-111.9293525,3.5,9,42,TRUE,none,,casual,1,TRUE,,,FALSE,,
1,Edinburgh,EDH,55.9494171,-3.2125017,3.5,7,17,TRUE,full_bar,average,,1,,FALSE,outdoor,FALSE,,
0,Pittsburgh,PA,40.453822,-79.948768,3,8,4,TRUE,none,,,,TRUE,,,,,
1,Las Vegas,NV,36.114249,-115.066886,2.5,5,24,TRUE,none,average,casual,2,FALSE,FALSE,,FALSE,TRUE,
0,Cave Creek,AZ,33.7955732,-111.9658905,3,11,118,TRUE,none,,,1,,,,,,
0,Las Vegas,NV,36.175,-115.136389,2,42,100,TRUE,full_bar,average,casual,2,FALSE,FALSE,,FALSE,FALSE,
1,Lake Wylie,SC,35.10997573,-81.04424332,4.5,15,54,TRUE,none,quiet,casual,1,FALSE,TRUE,,TRUE,TRUE,
1,Las Vegas,NV,36.1231538,-115.1730752,3,23,86,TRUE,full_bar,loud,,2,,,yes,FALSE,,
0,Phoenix,AZ,33.4815508,-112.2196069,2.5,9,6,TRUE,none,average,casual,2,TRUE,TRUE,,FALSE,,
1,Tempe,AZ,33.4060271,-111.9254244,3.5,46,37,FALSE,none,average,casual,1,TRUE,FALSE,,TRUE,FALSE,
0,Cave Creek,AZ,33.797531,-111.976648,2,6,15,TRUE,none,,casual,1,FALSE,TRUE,,,FALSE,
1,Madison,WI,43.0793568,-89.3241786,3,10,11,TRUE,none,,casual,1,FALSE,,,FALSE,,
0,Edinburgh,EDH,55.93406579,-3.210801535,3.5,8,27,TRUE,none,,casual,4,,,,TRUE,,
1,Avondale,AZ,33.49314649,-112.2894251,4.5,57,99,TRUE,none,average,casual,1,FALSE,TRUE,,FALSE,FALSE,
0,Phoenix,AZ,33.5964054,-112.1326396,4.5,3,23,TRUE,none,,,1,,,,,,
1,Charlotte,NC,35.176967,-80.880265,3.5,16,16,TRUE,beer_and_wine,quiet,casual,2,TRUE,TRUE,,FALSE,,
1,Edinburgh,EDH,55.9578591,-3.1993316,4.5,5,14,TRUE,full_bar,quiet,dressy,4,TRUE,TRUE,,TRUE,,FALSE
0,Las Vegas,NV,36.041095,-115.120455,4,31,61,TRUE,none,average,casual,1,TRUE,TRUE,,FALSE,TRUE,
0,Madison,WI,43.056055,-89.4954923,3,9,20,TRUE,none,,,1,,FALSE,,FALSE,,
1,Urbana,IL,40.1132,-88.208287,4,23,44,TRUE,full_bar,average,casual,1,FALSE,FALSE,,TRUE,FALSE,
0,Montreal,QC,45.5202453,-73.5797977,4,6,15,TRUE,none,,,1,,,,,,
1,Chandler,AZ,33.320344,-111.926391,4,31,40,TRUE,full_bar,average,casual,2,FALSE,FALSE,,TRUE,TRUE,
1,Las Vegas,NV,36.1012667,-115.2982967,3.5,33,63,TRUE,none,average,casual,2,TRUE,TRUE,,FALSE,TRUE,
1,Phoenix,AZ,33.4951237,-111.9954348,4,18,111,TRUE,none,average,casual,1,FALSE,TRUE,,FALSE,FALSE,
0,Montral,QC,45.5226795,-73.6032405,4,42,41,TRUE,full_bar,average,casual,1,FALSE,TRUE,,TRUE,TRUE,
1,Montreal,QC,45.5059517,-73.553064,4.5,13,13,TRUE,none,quiet,casual,2,FALSE,,,,,
1,Las Vegas,NV,36.1010348,-115.2976001,1.5,14,82,TRUE,none,very_loud,casual,1,FALSE,TRUE,,FALSE,FALSE,
1,Las Vegas,NV,36.13525532,-115.1505728,3,29,74,TRUE,beer_and_wine,loud,casual,1,FALSE,TRUE,,FALSE,FALSE,
1,Charlotte,NC,35.214127,-80.770187,4,32,42,TRUE,none,,casual,1,FALSE,TRUE,,FALSE,,
1,Las Vegas,NV,36.175,-115.136389,3.5,15,19,TRUE,full_bar,average,casual,2,FALSE,,,FALSE,FALSE,
1,Chandler,AZ,33.2332703,-111.858059,3.5,31,25,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,,TRUE,,
1,Matthews,NC,35.1164767,-80.7193799,3,52,107,TRUE,full_bar,loud,casual,2,FALSE,TRUE,outdoor,TRUE,FALSE,
1,Montreal,QC,45.4939647,-73.5787858,4.5,37,39,TRUE,none,average,casual,1,FALSE,TRUE,,FALSE,FALSE,
1,Montral,QC,45.503271,-73.6380364,4,5,4,TRUE,full_bar,average,casual,2,TRUE,TRUE,,FALSE,FALSE,
1,Montral,QC,45.4929946,-73.5802059,3.5,8,6,FALSE,none,average,casual,2,,,,FALSE,,
1,Wickenburg,AZ,33.9693921,-112.7291837,3.5,12,73,TRUE,none,average,casual,1,FALSE,FALSE,,FALSE,FALSE,
0,Charlotte,NC,35.2000113,-80.7765753,2,15,105,TRUE,none,,,2,,FALSE,,,,
1,Las Vegas,NV,36.1067341,-115.0406679,2.5,30,65,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,,FALSE,FALSE,
1,Kitchener,ON,43.4078434,-80.3966505,4,28,37,TRUE,full_bar,average,casual,2,FALSE,TRUE,outdoor,TRUE,FALSE,
1,Chandler,AZ,33.31647981,-111.8410433,4.5,3,4,TRUE,none,quiet,casual,1,FALSE,FALSE,,FALSE,,
0,Las Vegas,NV,36.02157433,-115.2776621,4.5,4,25,TRUE,none,,,2,,,,,,
1,Madison,WI,43.0752466,-89.43766668,3,83,70,TRUE,beer_and_wine,quiet,casual,2,TRUE,TRUE,,FALSE,TRUE,TRUE
1,Pittsburgh,PA,40.3798453,-80.0447818,4,24,34,TRUE,none,average,casual,1,TRUE,,,FALSE,TRUE,TRUE
1,Las Vegas,NV,36.087483,-115.243782,3.5,47,171,TRUE,none,average,casual,2,FALSE,TRUE,,FALSE,TRUE,
1,Phoenix,AZ,33.480692,-111.985722,3,11,117,TRUE,none,quiet,casual,1,FALSE,TRUE,,FALSE,FALSE,
0,Phoenix,AZ,33.4483495,-111.9953819,4,21,57,TRUE,none,very_loud,casual,1,FALSE,FALSE,,TRUE,FALSE,
0,Pittsburgh,PA,40.4514869,-79.9828538,4.5,44,177,TRUE,none,,,1,,,,TRUE,,
1,Phoenix,AZ,33.3906552,-112.133559,3,5,22,TRUE,none,loud,casual,1,,,,FALSE,,
0,Champaign,IL,40.110411,-88.242982,3.5,28,15,TRUE,none,average,casual,1,TRUE,TRUE,,FALSE,FALSE,
0,Las Vegas,NV,36.1629926,-115.1592511,4.5,14,24,TRUE,none,,,2,,,,,,
1,Apache Junction,AZ,33.415885,-111.574489,5,3,8,TRUE,none,quiet,casual,2,FALSE,FALSE,,,FALSE,
0,Chandler,AZ,33.2185929,-111.8261012,2,3,10,TRUE,none,,,,,,,,,
1,LaSalle,QC,45.426848,-73.6271752,4,4,3,TRUE,none,average,casual,1,,,,,,
1,Peoria,AZ,33.68106,-112.239905,3.5,35,68,TRUE,full_bar,quiet,casual,1,TRUE,TRUE,no,FALSE,TRUE,
1,Henderson,NV,36.02172348,-115.0898049,4,9,68,TRUE,none,average,casual,1,FALSE,FALSE,,FALSE,,
1,Tempe,AZ,33.364213,-111.911785,3,22,177,TRUE,none,very_loud,casual,1,FALSE,TRUE,,TRUE,TRUE,TRUE
1,Charlotte,NC,35.143459,-80.930412,2.5,25,120,TRUE,full_bar,average,casual,2,FALSE,TRUE,,FALSE,TRUE,
1,Chandler,AZ,33.3058201,-111.9007671,3.5,75,99,FALSE,beer_and_wine,average,casual,2,TRUE,FALSE,,FALSE,,
1,Chandler,AZ,33.33657881,-111.8594885,4,101,191,TRUE,none,quiet,casual,1,FALSE,TRUE,,TRUE,TRUE,
1,Madison,WI,43.085589,-89.3694529,3.5,93,151,TRUE,full_bar,average,casual,2,FALSE,TRUE,,FALSE,TRUE,
0,Las Vegas,NV,36.2171931,-115.2449057,3.5,4,4,FALSE,none,,,2,,,,FALSE,,
0,Montral,QC,45.5033382,-73.5750689,3,4,9,FALSE,none,,,3,,,,,,
1,Las Vegas,NV,36.06824971,-115.1772308,4,11,6,FALSE,none,quiet,casual,2,FALSE,FALSE,,FALSE,FALSE,
1,Henderson,NV,36.0414556,-115.0983469,2.5,18,93,TRUE,full_bar,average,casual,1,FALSE,TRUE,yes,TRUE,FALSE,
1,Phoenix,AZ,33.5239086,-112.1029346,4.5,101,163,TRUE,none,average,casual,1,FALSE,TRUE,,TRUE,TRUE,
1,Las Vegas,NV,36.10076061,-115.1018818,4.5,15,33,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,no,FALSE,,
1,Las Vegas,NV,36.126543,-115.206888,3,10,15,TRUE,none,quiet,casual,1,TRUE,FALSE,,FALSE,TRUE,
1,Madison,WI,43.0572208,-89.428248,4,30,31,TRUE,beer_and_wine,quiet,casual,2,FALSE,TRUE,,FALSE,,
1,Phoenix,AZ,33.4661343,-111.973718,3,25,108,TRUE,none,quiet,casual,1,FALSE,FALSE,,TRUE,FALSE,TRUE
1,Mesa,AZ,33.394432,-111.875578,3.5,36,57,TRUE,none,quiet,casual,1,FALSE,TRUE,,FALSE,FALSE,
0,Edinburgh,EDH,55.9028024,-3.1831173,4.5,10,10,TRUE,none,,,3,,,,,,
1,Las Vegas,NV,36.0569676,-115.2800962,3,12,31,FALSE,none,average,casual,2,FALSE,FALSE,,FALSE,,
0,Phoenix,AZ,33.67572658,-111.9716293,4,12,26,TRUE,none,,,3,,,,,,
1,Edinburgh,EDH,55.95731728,-3.193575952,4,4,4,FALSE,full_bar,,,2,,TRUE,,,,
1,Homestead,PA,40.412086,-79.910032,2,5,19,TRUE,none,average,casual,1,FALSE,TRUE,,TRUE,FALSE,
1,Madison,WI,43.074998,-89.388534,3.5,27,84,TRUE,none,quiet,casual,1,FALSE,TRUE,,TRUE,FALSE,TRUE
0,Surprise,AZ,33.6098808,-112.3586508,3,13,126,TRUE,none,,,2,,,,,,
0,Tempe,AZ,33.3345172,-111.9114529,4.5,11,88,TRUE,none,,,2,,,,,,
0,Madison,WI,43.0785853,-89.3246797,4,107,208,TRUE,none,average,casual,1,FALSE,TRUE,,TRUE,TRUE,
1,Mesa,AZ,33.381225,-111.7544543,3,39,174,TRUE,full_bar,quiet,casual,2,FALSE,TRUE,,TRUE,TRUE,
1,Charlotte,NC,35.171453,-80.660633,3,29,56,TRUE,none,average,casual,1,FALSE,TRUE,,FALSE,,
0,Montral,QC,45.547426,-73.5441436,4.5,4,16,TRUE,none,,,2,,,,,,
1,North Las Vegas,NV,36.1959125,-115.1198297,5,12,10,TRUE,none,quiet,casual,1,FALSE,TRUE,,FALSE,TRUE,
0,Charlotte,NC,35.135586,-80.878261,3.5,10,34,TRUE,beer_and_wine,,,1,FALSE,,,FALSE,,
0,Glendale,AZ,33.6624675,-112.18689,4,7,13,TRUE,none,,,1,,FALSE,,,,
1,Las Vegas,NV,36.1422486,-115.156616,4,108,163,TRUE,full_bar,average,dressy,3,FALSE,FALSE,,FALSE,FALSE,
0,Phoenix,AZ,33.4550206,-112.0756306,3.5,8,23,TRUE,beer_and_wine,,,1,,,,FALSE,,
0,Pittsburgh,PA,40.428,-79.98,4,4,3,TRUE,none,,,1,,,,,TRUE,
1,Madison,WI,43.0748719,-89.3962559,3,51,45,TRUE,none,average,casual,1,FALSE,TRUE,,TRUE,,
1,Clover,SC,35.1097984,-81.0425005,4,15,63,TRUE,full_bar,average,casual,2,FALSE,TRUE,,TRUE,FALSE,
1,Phoenix,AZ,33.509162,-112.116639,4,4,15,TRUE,none,,casual,1,FALSE,,,,,
1,Phoenix,AZ,33.58293,-112.1513854,2.5,23,19,TRUE,none,loud,casual,1,FALSE,FALSE,,FALSE,,
1,Las Vegas,NV,36.11543,-115.135068,2.5,20,28,TRUE,none,average,casual,1,TRUE,FALSE,,FALSE,TRUE,
1,Charlotte,NC,35.2270869,-80.8431267,3,26,26,TRUE,none,,casual,1,FALSE,,,FALSE,TRUE,
1,Pittsburgh,PA,40.4452011,-79.9485967,3.5,42,36,TRUE,full_bar,quiet,casual,3,FALSE,TRUE,,TRUE,TRUE,FALSE
1,Montral,QC,45.49397204,-73.57880952,4,22,23,TRUE,full_bar,average,casual,2,FALSE,,,FALSE,FALSE,
1,Phoenix,AZ,33.5981674,-112.150726,3,5,9,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,,FALSE,FALSE,
1,Montral,QC,45.5407877,-73.613435,3,4,5,TRUE,none,,,,,,,,,
1,Montral,QC,45.5002213,-73.5780334,4,44,64,TRUE,full_bar,quiet,dressy,4,FALSE,FALSE,,TRUE,FALSE,
0,Monona,WI,43.056621,-89.326717,4,9,21,TRUE,none,,casual,1,FALSE,,,TRUE,,
1,Avondale,AZ,33.43659852,-112.348938,4,7,3,TRUE,none,average,casual,1,FALSE,FALSE,,FALSE,TRUE,
0,Phoenix,AZ,33.6075612,-112.0637249,4,5,60,FALSE,none,,,1,,,,,,
0,Las Vegas,NV,36.1280969,-115.225621,4,17,185,TRUE,none,,,1,,,,,,
0,Avondale,AZ,33.4614848,-112.327888,4,12,16,TRUE,none,,,1,,,,,,
1,Montral,QC,45.4708946,-73.6151464,3,18,18,TRUE,beer_and_wine,average,casual,2,TRUE,TRUE,,TRUE,FALSE,
1,Glendale,AZ,33.61184757,-112.1835815,4.5,14,29,TRUE,full_bar,quiet,casual,2,FALSE,FALSE,,FALSE,TRUE,
0,Las Vegas,NV,36.115423,-115.288413,4,5,12,TRUE,none,,,1,,,,,,
0,Chandler,AZ,33.217813,-111.790154,4.5,20,87,TRUE,none,,,1,,,,,,
0,Montral,QC,45.5132551,-73.559385,4.5,3,6,TRUE,none,,,,,,,,,
1,Dorval,QC,45.4446468,-73.7408899,2.5,5,4,TRUE,none,,,,TRUE,,,,TRUE,
0,Mesa,AZ,33.4222901,-111.8471316,4.5,3,13,TRUE,none,,,2,,,,,,
1,Las Vegas,NV,36.11474429,-115.2002594,3,25,159,TRUE,none,average,casual,1,FALSE,TRUE,,TRUE,TRUE,
1,Montral,QC,45.524276,-73.5955559,3.5,11,15,TRUE,full_bar,loud,,1,,FALSE,outdoor,FALSE,,
1,Las Vegas,NV,36.124423,-115.146372,3.5,207,202,FALSE,full_bar,very_loud,,3,,,yes,TRUE,,
1,Champaign,IL,40.107102,-88.243891,3.5,52,70,TRUE,full_bar,average,casual,1,FALSE,FALSE,,TRUE,TRUE,TRUE
1,Phoenix,AZ,33.489048,-112.0742127,4,63,118,TRUE,full_bar,average,casual,2,FALSE,TRUE,,TRUE,TRUE,FALSE
1,Tempe,AZ,33.3779489,-111.9062757,4,25,103,TRUE,full_bar,average,,1,,FALSE,outdoor,FALSE,,
1,Las Vegas,NV,36.1044875,-115.1767584,2.5,3,18,TRUE,none,,casual,2,FALSE,,,FALSE,,
1,Las Vegas,NV,36.057248,-115.128906,3,14,26,TRUE,none,quiet,casual,1,TRUE,,,FALSE,,
0,Aspinwall,PA,40.490432,-79.904529,4,17,21,TRUE,none,,,2,,,,,,
0,Edinburgh,EDH,55.9414275,-3.2033303,5,13,26,TRUE,none,,,2,,,,FALSE,,
0,Phoenix,AZ,33.4799445,-112.2570725,2.5,21,93,TRUE,none,,,1,,,,TRUE,,
1,Dollard-des-Ormeaux,QC,45.4732526,-73.8350737,2.5,13,25,TRUE,full_bar,average,casual,2,FALSE,FALSE,,FALSE,TRUE,
1,Mesa,AZ,33.3846485,-111.8027455,4,43,95,TRUE,full_bar,average,casual,2,FALSE,TRUE,,TRUE,FALSE,
0,Maricopa,AZ,33.0683458,-112.0475185,4,7,5,TRUE,none,,,1,,TRUE,,FALSE,,
1,Las Vegas,NV,36.07643,-115.17494,4,6,22,TRUE,none,average,casual,2,FALSE,,,TRUE,,
1,Madison,WI,43.0716332,-89.4600369,3.5,23,25,TRUE,none,average,casual,2,TRUE,TRUE,,FALSE,FALSE,
0,Edinburgh,EDH,55.95225612,-3.203565338,3.5,8,12,TRUE,none,,,2,,,,TRUE,,
1,Glendale,AZ,33.5384459,-112.1516813,4,25,95,TRUE,none,quiet,casual,1,FALSE,TRUE,,FALSE,FALSE,
1,Mesa,AZ,33.437944,-111.683737,3.5,3,31,TRUE,none,,casual,1,FALSE,FALSE,,,FALSE,
1,Montreal,QC,45.5244244,-73.600227,5,9,5,TRUE,none,quiet,casual,1,FALSE,TRUE,,FALSE,,
0,Mesa,AZ,33.3794982,-111.8061349,3,14,110,TRUE,none,,,1,,,,,,
1,Las Vegas,NV,36.01908848,-115.2703357,2.5,87,148,TRUE,beer_and_wine,quiet,casual,2,FALSE,TRUE,,FALSE,TRUE,
1,Las Vegas,NV,36.1135342,-115.1684081,2.5,74,119,TRUE,beer_and_wine,average,casual,2,FALSE,TRUE,,FALSE,FALSE,
1,Phoenix,AZ,33.6404587,-112.068087,3.5,15,123,TRUE,none,average,casual,1,FALSE,FALSE,,FALSE,FALSE,
1,Mesa,AZ,33.45102078,-111.682315,4.5,62,192,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,,TRUE,TRUE,
1,Mesa,AZ,33.377497,-111.637,1.5,8,30,TRUE,none,average,casual,2,FALSE,FALSE,,TRUE,FALSE,
0,Madison,WI,43.060929,-89.527968,4,7,21,FALSE,none,,,3,,,,,,
0,Henderson,NV,36.063175,-115.03686,3.5,11,61,FALSE,none,,casual,1,,,,FALSE,,
1,Scottsdale,AZ,33.4999005,-111.9199715,3.5,57,192,FALSE,full_bar,loud,casual,2,FALSE,TRUE,outdoor,TRUE,,FALSE
0,Henderson,NV,36.0674464,-115.0683511,2.5,7,18,TRUE,none,quiet,casual,1,FALSE,TRUE,,FALSE,FALSE,
0,Mesa,AZ,33.4180666,-111.7720394,4,30,43,TRUE,none,,,1,,,,,,
1,Kitchener,ON,43.4070447,-80.3949761,3,10,22,TRUE,none,average,casual,2,,,,FALSE,,
0,Las Vegas,NV,36.2031978,-115.2599508,4,45,54,TRUE,none,,,2,,,,,,
1,Madison,WI,43.149324,-89.399159,3.5,10,19,TRUE,full_bar,average,casual,1,FALSE,TRUE,outdoor,TRUE,,
0,Tempe,AZ,33.4220789,-111.9445979,2.5,5,3,FALSE,full_bar,,,2,TRUE,,outdoor,TRUE,,
1,Charlotte,NC,35.196491,-80.826048,4,16,21,FALSE,none,quiet,casual,1,FALSE,FALSE,,TRUE,FALSE,
1,Las Vegas,NV,36.1231056,-115.2436769,3.5,25,209,TRUE,none,average,casual,2,FALSE,FALSE,,FALSE,FALSE,
0,Las Vegas,NV,36.0794113,-115.1014718,3.5,4,35,TRUE,none,,,,FALSE,FALSE,,,,
1,Scottsdale,AZ,33.49613072,-111.922043,4.5,18,49,TRUE,full_bar,average,casual,2,FALSE,FALSE,,TRUE,TRUE,
1,North Las Vegas,NV,36.2392191,-115.1768961,3.5,15,20,FALSE,none,average,casual,1,FALSE,TRUE,,FALSE,,
1,Bellevue,PA,40.49120331,-80.04747772,4,31,27,FALSE,none,quiet,casual,2,FALSE,TRUE,,TRUE,FALSE,
1,Pittsburgh,PA,40.4414036,-80.00341668,3.5,10,13,FALSE,none,quiet,casual,1,TRUE,TRUE,,FALSE,,
0,Gilbert,AZ,33.3068352,-111.7531122,4.5,12,14,FALSE,none,,,2,,FALSE,,TRUE,,
